hora;ultrasonido;rojo;verde;azul;habitat ;real
8:49:54 p. m.;918;100;61;58;habitat 1;8
8:49:54 p. m.;918;101;61;59;habitat 1;8
8:49:54 p. m.;918;101;61;59;habitat 1;8
8:49:54 p. m.;918;101;62;59;habitat 1;8
8:49:54 p. m.;918;101;62;59;habitat 1;8
8:49:54 p. m.;918;100;61;57;habitat 1;8
8:49:54 p. m.;924;101;61;59;habitat 1;8
8:49:54 p. m.;924;100;61;57;habitat 1;8
8:49:54 p. m.;918;102;62;58;habitat 1;8
8:49:54 p. m.;918;100;61;58;habitat 1;8
8:49:55 p. m.;918;95;61;58;habitat 1;8
8:49:55 p. m.;918;101;61;59;habitat 1;8
8:49:55 p. m.;924;101;61;59;habitat 1;8
8:49:55 p. m.;918;101;61;59;habitat 1;8
8:49:55 p. m.;918;96;62;58;habitat 1;8
8:49:55 p. m.;918;94;61;58;habitat 1;8
8:49:56 p. m.;562;98;60;50;habitat 1;8
8:49:56 p. m.;513;98;59;57;habitat 1;8
8:49:56 p. m.;481;96;58;56;habitat 1;8
8:49:56 p. m.;484;93;56;54;habitat 1;8
8:49:56 p. m.;528;89;53;51;habitat 1;8
8:49:57 p. m.;508;89;54;51;habitat 1;8
8:50:20 p. m.;657;86;51;42;habitat 1;8
8:50:20 p. m.;588;91;55;51;habitat 1;8
8:50:20 p. m.;582;87;56;53;habitat 1;8
8:50:20 p. m.;891;95;58;54;habitat 1;8
8:50:20 p. m.;891;101;62;58;habitat 1;8
8:50:20 p. m.;918;100;62;57;habitat 1;8
8:50:20 p. m.;918;101;63;58;habitat 1;8
8:50:20 p. m.;920;83;51;48;habitat 1;8
8:50:20 p. m.;510;79;53;50;habitat 1;8
8:50:20 p. m.;519;88;55;51;habitat 1;8
8:50:20 p. m.;513;88;49;51;habitat 1;8
8:50:22 p. m.;546;91;57;53;habitat 1;8
8:50:22 p. m.;540;85;57;53;habitat 1;8
8:50:22 p. m.;546;91;57;53;habitat 1;8
